    t              u1             u2
0.581172       0.604386      0.0426145
0.581789       0.604953      0.0435527
0.582407        0.60552      0.0444909
0.583024       0.606087      0.0454292
0.583641       0.606652      0.0463675
0.584258       0.607217      0.0473058
0.584874       0.607781      0.0482442
0.58549       0.608345      0.0491826
0.586106       0.608908       0.050121
0.586722        0.60947      0.0510594
0.587337       0.610032      0.0519979
0.587952       0.610592      0.0529364
0.588567       0.611153      0.0538749
0.589182       0.611712      0.0548134
0.589796       0.612271       0.055752
0.59041       0.612829      0.0566906
0.591024       0.613386      0.0576292
0.591638       0.613943      0.0585678
0.592251       0.614499      0.0595065
0.592864       0.615055      0.0604452
0.593477        0.61561      0.0613839
0.59409       0.616164      0.0623227
0.594702       0.616717      0.0632614
0.595314        0.61727      0.0642002
0.595926       0.617822       0.065139
0.596538       0.618374      0.0660779
0.597149       0.618924      0.0670167
0.59776       0.619475      0.0679556
0.598371       0.620024      0.0688945
0.598982       0.620573      0.0698334
0.599592       0.621121      0.0707724
0.600203       0.621669      0.0717113
0.600813       0.622216      0.0726503
0.601423       0.622762      0.0735894
0.602032       0.623307      0.0745284
0.602642       0.623852      0.0754675
0.603251       0.624397      0.0764065
0.60386        0.62494      0.0773457
0.604468       0.625483      0.0782848
0.605077       0.626025      0.0792239
0.605685       0.626567      0.0801631
0.606293       0.627108      0.0811023
0.606901       0.627649      0.0820415
0.607509       0.628188      0.0829807
0.608116       0.628727        0.08392
0.608724       0.629266      0.0848593
0.609331       0.629804      0.0857986
0.609937       0.630341      0.0867379
0.610544       0.630878      0.0876772
0.611151       0.631413      0.0886166
0.611757       0.631949      0.0895559
0.612363       0.632483      0.0904953
0.612969       0.633017      0.0914348
0.613574       0.633551      0.0923742
0.61418       0.634084      0.0933136
0.614785       0.634616      0.0942531
0.61539       0.635147      0.0951926
0.615995       0.635678      0.0961321
0.6166       0.636208      0.0970716
0.617204       0.636738      0.0980112
0.617809       0.637267      0.0989508
0.618413       0.637795      0.0998903
0.619017       0.638323        0.10083
0.619621        0.63885        0.10177
0.620224       0.639376       0.102709
0.620828       0.639902       0.103649
0.621431       0.640428       0.104589
0.622034       0.640952       0.105528
0.622637       0.641476       0.106468
0.62324          0.642       0.107408
0.623842       0.642522       0.108347
0.624445       0.643044       0.109287
0.625047       0.643566       0.110227
0.625649       0.644087       0.111167
0.626251       0.644607       0.112107
0.626853       0.645127       0.113046
0.627454       0.645646       0.113986
0.628056       0.646164       0.114926
0.628657       0.646682       0.115866
0.629258         0.6472       0.116806
0.629859       0.647716       0.117746
0.63046       0.648232       0.118686
0.63106       0.648748       0.119626
0.631661       0.649262       0.120566
0.632261       0.649777       0.121506
0.632861        0.65029       0.122445
0.633461       0.650803       0.123385
0.634061       0.651316       0.124326
0.634661       0.651827       0.125266
0.63526       0.652339       0.126206
0.63586       0.652849       0.127146
0.636459       0.653359       0.128086
0.637058       0.653869       0.129026
0.637657       0.654377       0.129966
0.638256       0.654886       0.130906
0.638855       0.655393       0.131846
0.639454         0.6559       0.132786
0.640052       0.656406       0.133726
0.640651       0.656912       0.134667
0.641249       0.657417       0.135607
0.641847       0.657922       0.136547
0.642445       0.658426       0.137487
0.643043        0.65893       0.138427
0.64364       0.659432       0.139368
0.644238       0.659935       0.140308
0.644835       0.660436       0.141248
0.645433       0.660937       0.142188
0.64603       0.661438       0.143129
0.646627       0.661938       0.144069
0.647224       0.662437       0.145009
0.647821       0.662936        0.14595
0.648417       0.663434        0.14689
0.649014       0.663931        0.14783
0.649611       0.664428       0.148771
0.650207       0.664925       0.149711
0.650803        0.66542       0.150651
0.651399       0.665916       0.151592
0.651995        0.66641       0.152532
0.652591       0.666904       0.153472
0.653187       0.667398       0.154413
0.653783       0.667891       0.155353
0.654379       0.668383       0.156294
0.654974       0.668875       0.157234
0.655569       0.669366       0.158175
0.656165       0.669856       0.159115
0.65676       0.670346       0.160056
0.657355       0.670836       0.160996
0.65795       0.671324       0.161937
